team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2015 Oregon,Joseph Young,Casey Benson,Elgin Cook,Dillon Brooks,Jordan Bell,12.5,14.4,16.4,10.2,8.1
2024 Texas Tech,Joe Toussaint,Pop Isaacs,Kerwin Walton,Darrion Williams,Robert Jennings,14.4,14.6,16.4,11.1,6.9
2017 Vermont,Trae Bell-Haynes,Ernie Duncan,Kurt Steidl,Anthony Lamb,Payton Henson,11.6,14.6,16.4,10.7,5.9
2019 Northern Kentucky,Jalen Tate,Tyler Sharpe,Trevon Faulkner,Dantez Walton,Drew McDonald,13.1,14,16.4,13.4,4.9
2019 UC Irvine,Robert Cartwright,Max Hazzard,Evan Leonard,Tommy Rutherford,Jonathan Galloway,9.5,12.5,16.3,8.8,6.1
2020 North Carolina St.,Markell Johnson,Devon Daniels,C.J. Bryce,Jericole Hellems,D.J. Funderburk,13.5,16.5,16.3,10.9,5.9
2016 Northern Iowa,Wes Washpun,Matt Bohannon,Jeremy Morgan,Paul Jesperson,Bennett Koch,13.6,16.8,16.2,8.8,9.8
2019 Seton Hall,Quincy McKnight,Myles Powell,Myles Cale,Michael Nzei,Sandro Mamukelashvili,12.5,16.8,16.2,9.6,7.6
2016 Middle Tennessee,Jaqawn Raymond,Giddy Potts,Perrin Buford,Darnell Harris,Reggie Upshaw,9.6,15.7,16,8.6,8.9
2020 Belmont,Grayson Murphy,Adam Kunkel,Michael Benkert,Tyler Scanlon,Nick Muszynski,11.4,14.5,16,9.8,8.6
2020 East Tennessee St.,Daivien Williamson,Isaiah Tisdale,Tray Boyd III,Bo Hodges,Lucas N'Guessan,11.7,15.2,15.9,9,5.6
2022 Vermont,Ben Shungu,Justin Mazzulla,Finn Sullivan,Isaiah Powell,Ryan Davis,13.2,14.9,15.9,14.5,6.3
2022 Alabama,Jahvon Quinerly,Jaden Shackelford,Keon Ellis,Noah Gurley,Charles Bediako,15,13.3,15.9,15.1,5.2
2018 Arizona St.,Tra Holder,Shannon Evans II,Kodi Justice,Mickey Mitchell,Romello White,15,15,15.9,13.3,0.5
2023 VCU,Adrian Baldwin Jr.,Jayden Nunn,Nick Kern Jr.,Brandon Johns Jr.,Jalen DeLoach,9.7,17.6,15.9,3,12
2018 Miami FL,Chris Lykes,Ja'Quan Newton,Lonnie Walker IV,Anthony Lawrence II,Dewan Huell,10.5,15.3,15.8,7.7,6.6
2022 Notre Dame,Prentiss Hubb,Blake Wesley,Cormac Ryan,Dane Goodwin,Paul Atkinson,15.5,16,15.7,12.2,9.2
2016 Tulsa,Shaquille Harrison,James Woodard,Marquel Curtis,Pat Birt,Brandon Swannegan,11.8,15,15.7,11.2,7.8
2022 Auburn,K.D. Johnson,Zep Jasper,Allen Flanigan,Jabari Smith,Walker Kessler,11.5,17.4,15.7,9.4,19.7
2015 Buffalo,Shannon Evans,Lamonte Bearden,Jarryn Skeete,Xavier Ford,Justin Moss,11.9,16.3,15.6,10.9,5.6
2024 Duquesne,Jimmy Clark III,Dae Dae Grant,Jake DiMichele,Fousseyni Drame,David Dixon,10.1,15.1,15.6,5.2,10.6
2022 Rutgers,Geo Baker,Paul Mulcahy,Caleb McConnell,Ron Harper Jr.,Clifford Omoruyi,11.6,17.5,15.6,7.4,11.6
2017 Arkansas,Jaylen Barford,Dusty Hannahs,Manuale Watkins,Dustin Thomas,Moses Kingsley,12.1,12,15.5,12.2,1.4
2020 Liberty,Georgie Pacheco-Ortiz,Darius McGhee,Elijah Cuffee,Caleb Homesley,Scottie James,10.6,17.8,15.5,8.2,9
2015 Harvard,Siyani Chambers,Corbin Miller,Wesley Saunders,Jonah Travis,Steve Moundou-Missi,9.7,17.3,15.4,7.8,7.3
2017 East Tennessee St.,T.J. Cromer,A.J. Merriweather,Desonta Bradford,Tevin Glass,Hanner Mosquera-Perea,9.7,15,15.4,7.4,7.8
2019 Syracuse,Tyus Battle,Jimmy Boeheim,Elijah Hughes,Marek Dolezaj,Oshae Brissett,11.7,17.1,15.3,8.7,2.2
2016 Little Rock,Josh Hagins,Marcus Johnson,Kemy Osse,Roger Woods,Lis Shoshi,8.2,13.2,15.3,6.8,8.8
2018 Charleston,Joe Chealey,Marquise Pointer,Grant Riller,Cameron Johnson,Jarrell Brantley,15.5,14.6,15.2,13.9,5.5
2016 Oregon St.,Gary Payton II,Stephen Thompson Jr.,Malcolm Duvivier,Olaf Schaftenaar,Drew Eubanks,9.6,13.8,15.1,8.9,7.1
2020 North Texas,Javion Hamlet,Umoja Gibson,James Reese,Thomas Bell,Zachary Simmons,13.6,13.1,15.1,12.2,0.7
2021 Georgetown,Dante Harris,Donald Carey,Chudier Bile,Jamorko Pickett,Qudus Wahab,10.1,16.3,15.1,5.5,8.6
2022 New Mexico St.,Jabari Rice,Clayton Henry,Teddy Allen,Johnny McCants,Will McNair Jr.,11.6,14.6,15.1,6.6,5.1
2019 Yale,Alex Copeland,Trey Phills,Miye Oni,Blake Reynolds,Jordan Bruner,12.5,13.6,15,11.2,7
2015 Valparaiso,E. Victor Nickerson,Tevonn Walker,Darien Walker,Alec Peters,Vashil Fernandez,9.4,15.7,15,6.5,15.2
2024 Northwestern,Boo Buie,Ryan Langborg,Nick Martinelli,Brooks Barnhizer,Luke Hunger,15.1,14.9,14.7,11.1,4.4
2018 Kansas St.,Kamau Stokes,Barry Brown Jr.,Cartier Diarra,Xavier Sneed,Makol Mawien,10,16.1,14.7,4.2,10.4
