team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2012 Vanderbilt,Brad Tinsley,John Jenkins,Jeffery Taylor,Lance Goulbourne,Festus Ezeli,17.4,17.5,30.8,20.8,8.2
2012 VCU,Darius Theus,Rob Brandenberg,Troy Daniels,Bradford Burgess,Juvonte Reddic,10.7,16.5,17.6,10.4,9.9
2012 Vermont,Sandro Carissimo,Brendan Bald,Brian Voelkel,Luke Apfield,Matt Glass,6.8,12.9,5.4,2.7,4.1
2012 Virginia,Jontel Evans,Sammy Zeglinski,Joe Harris,Akil Mitchell,Mike Scott,11.2,21.3,25,8.9,11
2012 West Virginia,Jabarie Hinds,Darryl Bryant,Keaton Miles,Deniz Kilicli,Kevin Jones,13.5,15.8,15.9,9.5,5.6
2012 Western Kentucky,Jamal Crook,Derrick Gordon,T.J. Price,George Fant,Teeng Akol,4.8,12.9,-1.7,-4.4,2.1
2012 Wichita St.,Joe Ragland,Demetric Williams,Toure' Murry,Ben Smith,Garrett Stutz,14.9,16.1,28.2,19.5,12.9
2012 Wisconsin,Jordan Taylor,Josh Gasser,Rob Wilson,Ryan Evans,Jared Berggren,14.5,20.7,28.8,13.8,13.5
2012 Xavier,Tu Holloway,Mark Lyons,Dezmine Wells,Andre Walker,Kenny Frease,12.7,17,19.6,11.9,6.1
2013 Akron,Carmelo Betancourt,Brian Walsh,Chauncey Gilliam,Demetrius Tree Treadwell,Zeke Marshall,7.8,12.9,8.3,0.1,9.42
2013 Albany,Mike Black,Jacob Iati,Gary Johnson,Sam Rowley,John Puk,7.9,11.7,1,-1,-0.4
2013 Arizona,Mark Lyons,Nick Johnson,Kevin Parrom,Solomon Hill,Kaleb Tarczewski,15.5,17.2,27.3,17.9,12.6
2013 Belmont,Kerron Johnson,Ian Clark,J.J. Mann,Blake Jenkins,Trevor Noack,14.9,16.8,20.1,15.2,6.5
2013 Boise St.,Derrick Marks,Jeff Elorriaga,Igor Hadziomerovic,Anthony Drmic,Ryan Watkins,14.9,15.2,19.5,14.6,11
2013 Bucknell,Bryson Johnson,Steven Kaspar,Cameron Ayers,Joe Willman,Mike Muscala,13.8,17.1,22.9,12.9,9.7
2013 Butler,Rotnei Clarke,Kellen Dunham,Roosevelt Jones,Khyle Marshall,Andrew Smith,14.7,15.4,22.6,17.3,7.7
2013 California,Justin Cobbs,Tyrone Wallace,Allen Crabbe,David Kravish,Richard Solomon,12.9,18.3,17.5,8,7.7
2013 Cincinnati,Cashmere Wright,JaQuon Parker,Sean Kilpatrick,Titus Rubles,Cheikh Mbodj,12.2,18.5,22,8.8,8.3
2013 Colorado,Askia Booker,Spencer Dinwiddie,Xavier Johnson,Andre Roberson,Josh Scott,13.9,18.8,21.6,10.9,9.2
2013 Colorado St.,Wes Eikmeier,Jonathan Octeus,Pierce Hornung,Greg Smith,Colton Iverson,15,14.7,19.5,15.4,7.8
